element_id,cluster,element,captures,stated_constraint,cyclonedx_1_7_paths,cyclonedx_fit,spdx_3_0_1_paths,spdx_fit,note
metadata.sbom-author,Metadata,SBOM author,Entity that generated the SBOM. Distinct from the producer of the thing described.,"String. Full names, no acronyms unless official.",metadata.authors[] (organizationalContact); metadata.manufacturer,direct,CreationInfo.createdBy -> Agent,direct,
metadata.sbom-version,Metadata,SBOM version,"Version of the SBOM document itself, per component name/version pair.",SemVer 2.0.0 (major SHOULD be 1) or RFC 9562 UUID.,version (integer at BOM root),partial,No document-version property,none,"CDX version is an integer, not SemVer. SPDX 3.0.1 has no SBOM document version at all. Real gap in both."
metadata.sbom-data-format-name,Metadata,SBOM data format name,Which format this SBOM is written in.,Free text.,bomFormat (const 'CycloneDX'),direct,@context + type: SpdxDocument,direct,
metadata.sbom-data-format-version,Metadata,SBOM data format version,Version of that format. Deprecated versions should not be used.,Free text. Deprecation rule.,specVersion (e.g. '1.7'),direct,CreationInfo.specVersion (e.g. '3.0.1'),direct,
metadata.sbom-author-signature,Metadata,SBOM author signature,"Digital signature of the SBOM author, for integrity and authenticity.","Algorithm approved by NIST DSS, ISO/IEC 14888-4:2024 or ENISA. No format named.","signature (JSF, jsf-0.82 schema); also declarations[].signature and citation[].signature",direct,No native signature construct,none,"THE COMMERCIAL HOOK. CycloneDX has a signature slot; SPDX 3.0.1 does not, so SPDX signing is out of band. Neither spec names a signature format (no Sigstore, DSSE, JWS or in-toto)."
metadata.sbom-tool-name,Metadata,SBOM tool name,Tool the author used to build the SBOM.,"String, full names.",metadata.tools.components[].name,direct,CreationInfo.createdUsing[] -> Tool.name,direct,
metadata.sbom-tool-version,Metadata,SBOM tool version,"Version of that tool. If none, say 'unknown'.",String. Explicit 'unknown' required if absent.,metadata.tools.components[].version,direct,Tool as Package -> packageVersion,partial,Empty is non-conformant. Explicit 'unknown' is conformant. Neither format enforces this.
metadata.sbom-generation-context,Metadata,SBOM generation context,Lifecycle phase at which the SBOM was made.,"Open list. Examples: before build, build, after build.","metadata.lifecycles[].phase (design, pre-build, build, post-build, operations, discovery, decommission)",partial,"LifecycleScopeType on relationships (design, build, development, test, runtime, other)",partial,"Vocabularies do not line up with each other or with the spec's three example values. SPDX scopes relationships, not the document."
metadata.sbom-timestamp,Metadata,SBOM timestamp,When the SBOM data was last changed. Every version gets a new one.,RFC 9557 (extended timestamps with bracketed suffixes).,metadata.timestamp (JSON Schema format: date-time),partial,CreationInfo.created (xsd:dateTimeStamp),partial,"RFC 9557 permits suffixes such as [America/Chicago] that RFC 3339 validators reject. Both formats validate as plain date-time, so a strictly conformant timestamp can fail their schemas."
metadata.sbom-dependency-relationship,Metadata,SBOM dependency relationship,Component X includes Y; or Y is derived from or a descendant of Z.,"Values: includes, included in, plus derived-from and descendant-of semantics.","dependencies[] (ref, dependsOn, provides); pedigree.ancestors/descendants/variants for derivation",direct,"Relationship: contains, dependsOn, ancestorOf, descendantOf, hasVariant",direct,
system-level-properties.system-name,System Level Properties,System name,Human-readable name of the whole AI system.,Multi-valued: alternate names should be capturable.,metadata.component.name,partial,Package.name,partial,Neither format allows alternate names on a single component. Spec explicitly asks for multiple entries. Use properties or externalIdentifier as a workaround.
system-level-properties.system-components,System Level Properties,System components,"Everything included in the AI system: models, databases, tools.",Free.,metadata.component.components[]; components[] + dependencies[],direct,Relationship contains,direct,
system-level-properties.system-producer,System Level Properties,System producer,"Entity that creates, defines and identifies the system.",Free.,metadata.component.manufacturer / .supplier,direct,Artifact.originatedBy / suppliedBy,direct,
system-level-properties.system-version,System Level Properties,System version,"Version of the system. If none, say 'unknown'.",Explicit 'unknown' required if absent.,metadata.component.version,direct,Package.packageVersion,direct,
system-level-properties.system-timestamp,System Level Properties,System timestamp,"Last update to the system, including model or software updates.",No RFC constraint stated (unlike SBOM timestamp).,No per-component update field. component.releaseNotes.timestamp is the nearest.,partial,Artifact.builtTime / releaseTime / validUntilTime,direct,SPDX is materially better here. CycloneDX has no component-level 'last updated' field.
system-level-properties.system-data-flow,System Level Properties,System data flow,"Data movement between components: endpoints, APIs, agent protocols, external services.","Link, reference or description.","services[].endpoints[]; services[].data[] with flow (inbound, outbound, bi-directional, unknown) and classification",direct,No data-flow construct,none,CycloneDX SaaSBOM services model this properly. SPDX 3.0.1 cannot express data flow at all. Biggest single divergence between the two formats.
system-level-properties.system-data-usage,System Level Properties,System data usage,"How data is processed and consumed, including logging and derived metadata.",Link to documentation.,services[].data[].classification; externalReferences[],partial,AIPackage.informationAboutApplication (free text),partial,Both weak. No structured notion of 'is user input used for training'.
system-level-properties.system-input-output-properties,System Level Properties,System input/output properties,"Input and output types, modality, preprocessing, tokenizer.",Free.,modelCard.modelParameters.inputs[].format / outputs[].format,partial,AIPackage.informationAboutApplication (free text),partial,"CycloneDX allows exactly ONE key here (format) because inputOutputMLParameters is additionalProperties:false. Modality lives in the separate cdx:ai-ml property taxonomy, not the schema. This is model-level in CDX, not system-level."
system-level-properties.intended-application-area,System Level Properties,Intended application area,"Domain the system is deployed in: healthcare, finance, cybersecurity, real time.",Free.,modelCard.considerations.useCases[],partial,AIPackage.domain (0..*),direct,SPDX has a purpose-built field. CycloneDX only has model-level use cases.
models.model-name,Models,Model name,Human-readable model name.,Multi-valued: alternate names should be capturable.,components[].name (type: machine-learning-model),partial,AIPackage.name,partial,Same alternate-names gap as System name.
models.model-identifier,Models,Model identifier,One or more machine-readable identifiers.,"CPE, PURL, UUID, org IDs, commit hashes, OmniBOR, SWHID. Include ALL of them.","components[].purl, .cpe, .swid, .omniborId, .swhid, .bom-ref",direct,Element.spdxId; Element.externalIdentifier[]; Package.packageUrl,direct,Both support the named schemes. Hugging Face PURL type (pkg:huggingface/...) is the de facto model identifier.
models.model-version,Models,Model version,"Model version. If none, say 'unknown'.",Explicit 'unknown' required if absent.,components[].version,direct,Package.packageVersion,direct,
models.model-timestamp,Models,Model timestamp,"Last update to the model, or its production release date.",Free.,components[].releaseNotes.timestamp,partial,Artifact.releaseTime / builtTime,direct,SPDX better.
models.model-producer,Models,Model producer,"Who pre-trained, post-trained or fine-tuned the model. Also the security point of contact.",Multi-valued.,"components[].manufacturer, .supplier, .authors[], .publisher",direct,"Artifact.originatedBy (0..*), suppliedBy (0..1)",direct,
